latitude,longitude
-2.297.152,-4.339.403
-2.291.467,-4.318.064
-2.300.555,-4.332.932
-2.297.884,-4.341.496
-2.290.641,-4.317.378
-2.288.407,-4.334.764
-2.300.923,-4.342.824
-2.297.294,-4.335.903
-2.297.297,-4.338.513
-2.297.441,-4.339.264
-2.291.508,-4.320.884
-2.296.971,-4.339.606
-2.300.985,-4.329.953
-2.296.664,-4.317.691
-2.298.272,-4.322.047
-2.300.432,-4.341.376
-2.291.435,-4.323.135
-2.300.055,-4.342.438
-2.295.637,-4.361.883
-2.293.319,-4.318.664
-2.292.764,-431.763
-2.297.676,-433.286
-2.302.389,-434.655
-2.297.342,-433.915
-2.302.031,-4.347.321
-2.301.388,-4.330.527
-2.301.881,-4.347.356
-2.294.325,-4.319.063
-2.300.987,-4.332.907
-2.302.371,-4.346.033
-2.290.067,-4.334.675
-2.300.101,-4.330.406
-2.296.206,-4.319.209
-2.294.754,-4.333.979
-2.298.446,-4.319.045
-2.301.958,-4.347.023
-2.297.119,-4.339.451
-2.290.908,-4.328.115
-2.296.931,-433.911
-229.719,-4.339.746
-229.357,-4.319.219
-230.288,-4.346.613
-2.301.078,-4.346.223
-2.301.757,-4.347.176
-2.291.552,-4.323.563
-2.302.068,-4.345.972
-230.114,-4.337.103
-2.301.697,-4.345.182
-230.236,-4.345.158
-2.298.639,-432.076
-2.300.231,-4.332.941
-2.299.707,-4.334.679
-2.297.197,-4.339.778
-2.296.932,-4.339.897
-2.291.861,-4.317.828
-2.297.086,-4.318.263
-2.288.507,-4.361.932
-2.292.064,-432.111
-230.127,-4.330.366
-2.302.144,-4.346.258
-2.291.791,-4.318.759
-2.292.216,-4.321.764
-2.297.016,-4.339.276
-2.300.768,-433.241
-2.300.921,-4.333.942
-2.296.511,-4.318.173
-2.297.839,-4.319.266
-2.301.089,-4.336.801
-2.302.035,-4.345.499
-2.297.634,-4.332.844
-2.297.172,-4.318.829
-2.295.787,-4.335.058
-2.297.361,-4.338.193
-2.295.564,-4.317.474
-2.302.462,-434.606
-2.297.083,-4.339.754
-2.300.923,-433.148
-2.297.454,-4.318.825
-2.297.311,-433.895
-2.297.482,-4.318.856
-2.296.502,-432.281
-2.299.963,-4.326.471
-22.966,-4.318.467
-2.297.107,-4.338.319
-2.292.802,-4.319.526
-2.302.523,-4.349.752
-2.293.935,-4.317.514
-2.297.105,-4.339.355
-2.296.542,-4.341.044
-2.299.546,-4.325.583
-2.294.709,-4.337.293
-2.298.378,-4.322.213
-229.748,-4.318.807
-2.301.138,-4.330.811
-2.292.162,-4.317.661
-2.292.824,-4.317.521
-2.300.595,-4.342.127
-2.300.153,-4.335.138
-2.291.799,-4.317.759
-2.292.901,-4.321.035
-2.301.926,-4.347.144
-2.294.947,-4.319.431
-2.302.943,-4.348.211
-2.297.367,-431.879
-2.297.007,-4.338.704
-2.298.573,-4.321.408
-230.285,-4.346.725
-2.296.706,-4.317.735
-2.300.544,-4.334.908
-2.297.041,-4.318.451
-2.301.387,-4.330.244
-2.293.626,-4.318.918
-2.293.804,-431.758
-2.301.788,-4.347.153
-2.300.816,-4.332.169
-229.566,-4.318.182
-2.297.438,-4.318.663
-23.012,-4.331.105
-2.299.086,-4.335.567
-2.295.351,-4.318.791
-2.296.578,-4.319.098
-2.302.288,-4.348.651
-2.296.708,-4.339.332
-2.296.595,-431.778
-2.301.063,-4.330.411
-2.294.999,-431.845
-2.296.985,-4.318.568
-2.293.902,-433.556
-230.109,-4.345.466
-2.297.855,-4.341.358
-2.301.198,-4.345.609
-2.298.489,-4.319.486
-2.301.544,-4.347.131
-2.299.572,-433.385
-22.893,-4.328.552
-2.297.732,-4.318.895
-2.300.051,-4.330.604
-2.297.397,-4.338.951
-2.298.737,-4.318.986
-2.296.238,-4.339.738
-2.302.235,-4.345.304
-2.299.656,-4.338.763
-2.299.973,-433.032
-2.292.888,-4.324.233
-230.081,-4.332.435
-2.300.977,-4.344.054
-229.228,-4.336.171
-230.078,-433.069
-2.301.245,-4.332.604
-2.297.734,-4.341.217
-229.693,-4.320.411
-2.296.648,-4.339.615
-2.298.366,-4.320.897
-2.290.729,-4.319.196
-2.300.774,-4.334.474
-2.298.643,-4.322.953
-2.301.293,-4.330.834
-230.039,-4.343.102
-2.298.326,-4.318.921
-2.301.237,-4.332.093
-2.297.385,-4.335.728
-2.294.389,-4.316.052
-2.298.721,-4.335.198
-2.297.018,-433.864
-2.284.852,-4.331.308
-2.294.955,-4.318.473
-2.291.847,-4.318.876
-2.295.756,-4.319.314
-2.300.274,-4.342.565
-2.297.396,-4.350.057
-2.300.971,-4.333.108
-229.814,-4.319.006
-2.301.761,-4.346.995
-2.292.051,-4.319.188
-2.292.812,-4.317.449
-2.299.398,-432.561
-2.287.161,-43.52
-2.298.955,-433.529
-230.023,-4.334.096
-2.293.996,-4.317.974
-2.292.075,-432.362
-2.299.495,-4.325.581
-2.289.957,-4.357.259
-2.298.341,-435.575
-2.297.563,-4.318.776
-2.292.007,-432.076
-2.298.338,-4.320.332
-2.300.976,-433.069
-2.301.052,-4.335.669
-2.292.879,-4.317.614
-2.296.831,-4.318.477
-2.297.796,-4.341.664
-2.291.324,-4.323.326
-2.301.887,-4.348.577
-2.298.595,-432.329
-2.288.622,-4.334.932
-2.294.668,-4.333.115
-2.300.162,-4.331.277
-2.296.779,-43.185
-2.296.327,-4.317.654
-2.301.028,-4.334.515
-2.292.017,-4.318.151
-2.299.566,-4.338.552
-2.301.282,-4.330.886
-2.300.596,-4.334.875
-2.297.036,-4.339.048
-2.297.123,-43.39
-229.126,-434.065
-229.145,-4.323.121
-2.302.261,-4.345.104
-2.291.099,-4.318.413
-2.298.748,-4.335.687
-2.296.783,-4.339.005
-2.300.977,-4.342.051
-2.302.382,-4.348.604
-2.301.174,-4.332.532
-2.301.743,-4.348.497
-229.368,-4.319.046
-2.291.928,-4.323.698
-229.732,-4.322.659
-2.296.379,-4.318.046
-2.301.066,-4.333.227
-2.301.017,-4.332.817
-2.298.059,-4.342.078
-2.298.113,-4.323.772
-2.298.409,-4.322.974
-2.296.448,-4.338.396
-2.301.044,-434.636
-2.297.341,-4.338.904
-2.301.395,-4.345.501
-2.302.358,-4.348.912
-2.298.355,-4.319.634
-2.297.521,-431.941
-2.300.227,-4.339.306
-2.291.161,-4.321.462
-2.297.064,-4.339.127
-2.302.113,-4.346.497
-2.300.719,-4.331.689
-2.301.913,-4.346.655
-2.298.143,-4.319.388
-2.302.222,-4.349.046
-2.300.404,-4.334.246
-2.300.777,-4.332.664
-2.290.527,-4.322.068
-2.300.605,-4.332.854
-2.298.533,-4.322.267
-2.300.133,-4.342.211
-2.296.371,-4.317.568
-2.290.652,-4.317.389
-2.293.497,-431.807
-2.296.538,-4.340.463
-2.296.481,-4.340.462
-22.966,-4.340.428
-2.296.606,-4.340.667
-2.296.481,-434.061
-2.298.411,-4.322.421
-2.296.583,-4.340.644
-2.298.418,-4.322.705
-2.299.765,-4.339.689
-2.297.377,-4.322.713
-2.279.987,-4.320.565
-2.296.681,-4.339.629
-2.300.663,-4.329.861
-2.301.044,-4.333.836
-2.299.306,-4.344.248
-2.294.044,-4.333.409
-2.297.347,-4.320.589
-2.296.507,-4.340.531
-2.300.556,-4.334.131
-2.299.462,-4.325.474
-2.301.582,-4.346.731
-2.297.774,-4.319.461
-2.293.467,-4.318.145
-230.191,-4.347.051
-2.293.934,-4.333.458
-229.614,-4.317.531
-2.296.659,-4.349.366
-2.292.019,-4.316.967
-2.300.149,-4.339.304
-2.295.531,-4.317.815
-2.301.498,-4.347.209
-2.298.401,-43.223
-2.296.782,-4.339.164
-2.298.565,-4.319.617
-2.294.015,-4.334.015
-2.296.023,-4.339.283
-2.297.022,-4.338.387
-2.298.455,-4.320.369
-2.298.375,-4.320.496
-2.302.375,-4.348.641
-2.300.135,-4.343.746
-2.297.079,-4.339.116
-2.297.145,-433.854
-2.297.076,-4.318.849
-2.297.778,-4.319.831
-2.297.363,-4.338.399
-2.297.013,-4.348.008
-2.289.973,-4.353.838
-2.291.344,-4.324.684
-2.296.326,-4.321.775
-2.297.108,-4.338.829
-2.297.496,-4.335.658
-2.294.336,-4.319.138
-2.294.707,-4.316.171
-2.298.444,-4.319.202
-229.762,-4.319.245
-229.771,-4.322.977
-2.297.258,-4.319.115
-2.297.202,-4.338.098
-2.296.283,-4.317.757
-229.709,-4.338.102
-2.298.392,-4.345.456
-2.300.947,-4.343.628
-2.294.843,-4.318.814
-2.300.278,-4.335.188
-2.295.096,-4.317.942
-2.295.825,-4.320.172
-2.302.642,-4.346.029
-2.291.861,-4.321.261
-2.295.413,-4.319.147
-2.296.204,-4.321.236
-2.300.805,-4.329.553
-2.300.993,-4.345.258
-2.297.135,-4.318.441
-2.298.252,-4.319.081
-2.296.141,-4.316.593
-2.297.072,-431.828
-230.179,-4.345.345
-2.292.071,-4.316.883
-2.301.501,-4.346.739
-2.301.098,-4.346.271
-2.297.959,-4.341.591
-2.295.127,-4.319.214
-2.298.457,-4.320.485
-2.298.466,-4.320.554
-2.298.434,-432.059
-2.295.394,-4.319.635
-2.291.976,-4.317.913
-2.299.898,-4.338.867
-2.300.394,-433.762
-2.301.264,-4.346.207
-229.698,-4.319.011
-2.298.535,-4.322.557
-2.297.156,-4.319.086
-2.300.403,-4.341.942
-2.293.403,-4.324.381
-2.297.117,-4.339.856
-2.299.999,-434.015
-2.298.279,-432.225
-2.290.582,-4.322.177
-2.298.529,-4.322.435
-2.296.445,-4.338.476
-2.297.056,-4.318.717
-2.298.095,-4.322.268
-2.299.772,-4.339.134
-2.296.465,-4.319.048
-2.296.129,-4.317.533
-2.301.499,-4.329.907
-2.296.492,-4.318.324
-229.138,-4.327.059
-2.294.062,-4.317.775
-2.292.269,-4.319.027
-2.295.718,-4.335.085
-2.298.434,-4.320.418
-2.299.077,-4.327.537
-2.297.778,-431.909
-2.299.611,-4.340.495
-229.653,-4.319.154
-2.298.322,-4.320.941
-2.298.744,-4.335.116
-2.298.088,-4.322.259
-2.300.895,-4.328.971
-2.296.995,-4.341.282
-2.296.426,-431.761
-2.302.679,-4.351.764
-2.295.308,-4.318.434
-2.295.578,-432.001
-2.295.521,-4.317.925
-2.298.442,-4.319.368
-2.298.289,-4.320.294
-2.300.811,-4.334.051
-2.296.841,-4.318.656
-2.301.254,-4.332.277
-2.288.224,-432.816
-2.297.066,-4.318.828
-2.294.976,-431.889
-228.936,-4.321.932
-2.292.006,-4.317.057
-2.297.324,-4.338.041
-2.296.579,-4.322.662
-229.836,-4.321.161
-2.293.042,-4.323.641
-229.013,-432.662
-2.291.457,-4.322.769
-2.295.156,-4.318.828
-2.296.284,-4.318.078
-230.093,-4.332.467
-2.293.743,-4.318.242
-2.288.522,-4.339.346
-22.927,-4.333.717
-2.298.328,-4.319.602
-2.300.129,-4.327.024
-2.297.272,-433.835
-2.293.242,-431.874
-2.297.216,-4.338.459
-2.296.986,-4.338.885
-2.300.241,-4.339.047
-2.298.295,-4.322.409
-2.298.398,-4.322.151
-2.291.737,-4.323.265
-2.294.478,-4.318.432
-2.298.896,-4.330.016
-2.301.037,-4.334.322
-2.298.393,-4.321.673
-2.293.073,-4.323.827
-2.301.022,-4.334.522
-2.301.161,-4.338.016
-2.298.363,-4.330.648
-2.298.537,-4.319.261
-2.289.173,-4.329.758
-2.297.226,-4.318.699
-229.845,-432.025
-2.283.647,-4.340.457
-2.300.123,-4.339.259
-229.649,-4.322.336
-2.297.587,-4.319.765
-2.300.972,-433.321
-2.301.519,-4.345.257
-2.291.965,-4.339.251
-2.298.627,-4.323.023
-229.418,-4.317.958
-2.297.007,-4.341.228
-2.298.431,-4.319.987
-2.298.518,-4.338.183
-2.300.964,-433.286
-2.298.567,-4.320.718
-2.296.883,-4.339.409
-2.298.866,-4.331.152
-2.300.858,-4.333.247
-2.298.293,-4.319.547
-2.300.377,-4.332.955
-2.301.301,-4.328.975
-2.300.198,-434.263
-2.300.958,-4.331.218
-2.295.519,-4.318.859
-2.296.935,-4.318.784
-229.739,-4.339.366
-2.300.934,-4.336.339
-2.300.313,-4.338.948
-2.296.758,-4.348.429
-2.297.975,-4.341.217
-2.297.211,-4.338.165
-229.649,-4.338.652
-2.300.901,-4.335.701
-2.294.871,-4.335.159
-2.296.362,-4.317.034
-2.291.064,-4.318.274
-229.936,-4.337.889
-229.401,-4.317.337
-2.298.963,-4.348.125
-2.300.731,-4.334.663
-2.298.383,-432.041
-2.297.909,-4.318.876
-2.301.231,-4.344.777
-2.296.865,-4.339.713
-2.300.237,-4.350.615
-2.298.504,-4.319.055
-2.298.044,-4.319.323
-2.298.539,-4.319.067
-2.298.404,-432.137
-230.093,-4.347.759
-2.301.071,-4.334.017
-2.300.311,-4.338.644
-230.105,-4.343.504
-2.297.081,-4.339.287
-230.088,-4.343.486
-2.291.551,-4.324.428
-2.297.082,-4.339.984
-2.298.072,-4.318.909
-2.300.793,-4.333.145
-2.298.291,-4.321.362
-2.292.066,-4.321.468
-229.782,-434.166
-2.298.414,-4.321.747
-229.896,-4.336.347
-2.291.516,-4.321.944
-2.294.865,-4.318.943
-2.292.425,-4.334.818
-2.300.692,-433.217
-229.798,-4.341.502
-2.296.632,-4.338.986
-2.291.241,-4.321.274
-2.301.177,-4.330.879
-229.819,-4.347.335
-2.291.318,-433.783
-2.296.878,-4.339.815
-2.298.957,-433.101
-2.292.621,-4.338.126
-2.288.647,-4.337.227
-2.299.024,-4.344.238
-2.300.549,-4.332.424
-228.929,-4.330.218
-2.300.513,-4.333.916
-2.296.641,-431.893
-2.295.238,-4.318.328
-2.295.489,-4.320.175
-2.293.692,-4.319.177
-2.298.935,-4.334.854
-2.294.077,-431.802
-2.297.396,-4.319.268
-2.302.481,-4.349.049
-2.301.695,-4.346.665
-2.295.509,-433.846
-229.609,-4.321.879
-2.301.109,-4.332.922
-2.296.372,-4.317.427
-2.299.661,-4.325.514
-2.300.809,-4.332.123
-2.298.433,-4.330.402
-2.295.124,-4.319.154
-2.295.864,-4.335.213
-2.292.227,-4.322.269
-228.937,-4.330.214
-229.676,-4.339.084
-2.296.365,-4.318.029
-2.296.217,-4.321.783
-2.300.499,-4.332.266
-2.289.158,-4.328.242
-230.129,-4.349.166
-2.297.463,-4.318.916
-229.674,-4.318.609
-2.300.338,-433.265
-2.299.601,-4.338.936
-2.301.108,-4.329.087
-2.292.931,-4.317.576
-2.298.318,-4.320.525
-2.297.354,-433.581
-2.299.667,-4.340.914
-2.300.515,-4.332.682
-2.290.475,-4.321.876
-2.302.507,-4.346.161
-2.299.017,-43.352
-2.296.804,-4.318.746
-2.297.531,-4.323.166
-2.298.964,-4.335.071
-2.292.976,-4.317.546
-2.296.088,-4.317.011
-229.862,-4.350.586
-2.298.278,-4.319.299
-2.296.659,-4.338.528
-2.299.958,-4.342.996
-230.042,-4.333.276
-2.288.653,-4.334.787
-2.295.342,-4.318.754
-2.302.753,-4.347.633
-229.638,-4.319.133
-229.693,-4.332.189
-2.298.381,-4.321.463
-2.299.878,-4.342.004
-230.086,-4.345.793
-2.296.978,-4.349.364
-2.297.198,-4.319.101
-2.295.998,-4.320.184
-2.295.322,-4.318.103
-2.300.648,-4.342.713
-2.297.441,-4.318.693
-2.297.389,-4.338.797
-2.297.221,-4.335.647
-2.293.924,-4.317.751
-2.292.403,-4.318.786
-2.298.001,-4.341.555
-230.083,-4.343.349
-2.291.474,-4.323.262
-2.300.747,-43.328
-230.146,-4.329.994
-230.245,-434.592
-2.299.851,-4.326.421
-2.302.491,-4.350.583
-2.296.386,-4.320.282
-2.300.764,-4.343.085
-2.300.995,-4.331.881
-2.298.586,-4.320.357
-2.300.799,-434.174
-2.298.334,-4.320.223
-2.301.026,-4.341.943
-230.276,-4.349.973
-2.300.203,-4.339.026
-2.293.777,-4.318.103
-2.295.425,-4.319.058
-2.284.968,-4.338.258
-2.298.952,-4.338.146
-2.297.061,-4.349.485
-2.291.766,-4.317.933
-2.292.948,-432.476
-2.293.386,-4.317.526
-2.298.512,-4.319.371
-2.296.682,-4.338.694
-2.297.797,-431.988
-2.300.875,-4.341.952
-2.296.699,-4.339.594
-22.999,-433.237
-2.300.433,-4.334.095
-2.297.083,-4.318.732
-2.300.159,-433.924
-2.297.364,-4.339.386
-2.296.715,-4.319.004
-2.300.896,-4.334.555
-2.298.419,-431.933
-2.288.405,-432.799
-2.298.369,-4.338.281
-2.299.496,-4.335.041
-229.834,-4.319.275
-2.300.501,-4.331.741
-2.297.236,-4.318.583
-2.300.625,-4.332.378
-2.296.452,-4.338.368
-2.303.123,-4.347.547
-2.292.933,-435.869
-229.099,-4.317.398
-2.296.541,-4.338.922
-2.296.446,-4.317.435
-2.298.973,-4.335.335
-2.297.765,-4.318.885
-2.300.442,-4.334.171
-2.285.571,-4.325.772
-2.291.639,-431.795
-229.647,-4.321.973
-2.298.476,-4.319.715
-2.297.368,-4.318.907
-2.300.919,-4.343.551
-2.292.864,-433.799
-2.300.956,-4.330.284
-2.303.065,-4.347.716
-230.104,-4.342.238
-2.296.297,-4.316.711
-2.293.124,-4.319.538
-2.302.236,-4.348.316
-2.291.318,-4.318.442
-2.292.175,-432.244
-2.297.333,-4.338.119
-2.300.451,-4.337.744
-2.298.426,-4.318.904
-2.297.282,-4.338.162
-2.286.171,-4.324.974
-229.641,-4.321.924
-2.296.454,-4.338.472
-2.296.507,-4.317.111
-2.300.751,-4.331.386
-2.300.903,-4.337.554
-2.293.442,-4.323.847
-2.297.031,-4.332.879
-2.291.534,-4.318.146
-2.288.137,-4.342.938
-2.300.452,-4.335.065
-2.296.729,-4.318.934
-2.294.769,-4.318.221
-2.301.554,-4.345.814
-2.294.288,-4.318.569
-2.300.928,-4.334.382
-2.298.647,-4.322.649
-2.296.613,-4.317.862
-229.632,-4.317.033
-2.296.652,-4.318.091
-2.295.463,-4.334.644
-2.300.249,-4.337.776
-2.296.896,-434.161
-2.300.813,-4.332.114
-2.295.554,-4.318.531
-2.298.265,-4.319.165
-2.298.349,-4.319.481
-22.964,-4.319.095
-2.299.699,-4.330.187
-2.297.982,-4.319.064
-2.298.343,-4.319.679
-229.242,-4.336.344
-2.290.907,-4.328.242
-2.299.481,-4.345.127
-2.297.596,-4.323.262
-2.292.982,-4.317.475
-2.296.171,-4.317.445
-2.292.571,-4.318.045
-2.297.105,-4.339.132
-2.298.424,-4.319.966
-2.300.003,-4.335.611
-2.298.206,-4.322.386
-2.298.156,-4.346.254
-2.301.669,-434.708
-2.295.198,-4.318.163
-2.298.275,-4.321.953
-2.302.679,-4.346.944
-2.297.306,-4.318.897
-2.294.246,-4.318.135
-2.301.246,-4.349.192
-2.297.003,-4.339.321
-2.298.029,-4.341.633
-2.298.629,-4.319.218
-2.300.263,-4.335.979
-229.674,-4.319.354
-2.300.844,-4.344.909
-2.295.298,-4.318.195
-2.300.987,-4.343.654
-2.297.579,-4.322.719
-2.301.129,-4.343.002
-2.295.371,-4.318.685
-230.084,-4.343.794
-2.301.358,-4.347.276
-2.300.879,-4.336.453
-2.298.429,-4.319.349
-2.300.988,-4.351.205
-2.301.653,-4.346.153
-2.294.472,-4.316.173
-229.848,-4.322.775
-2.299.725,-4.341.991
-2.300.712,-434.601
-2.287.102,-4.326.203
-2.297.455,-4.319.087
-2.301.195,-4.329.715
-2.297.466,-4.323.166
-2.302.813,-4.348.982
-2.296.871,-4.339.034
-2.297.026,-4.318.286
-2.298.799,-4.331.906
-2.300.037,-4.339.028
-2.299.893,-4.341.903
-2.302.325,-434.908
-229.729,-4.319.291
-2.301.166,-433.281
-2.293.033,-4.323.846
-2.301.192,-4.332.712
-2.295.846,-4.319.992
-2.297.003,-4.339.561
-2.300.718,-4.330.021
-2.294.597,-43.187
-2.297.511,-4.323.422
-2.298.287,-4.323.228
-2.296.333,-4.317.622
-2.293.881,-4.335.604
-2.298.208,-4.319.905
-2.296.464,-4.317.929
-2.298.484,-4.338.545
-2.300.314,-4.332.682
-2.303.127,-434.748
-2.302.339,-4.349.085
-22.968,-4.318.242
-2.291.692,-4.322.375
-2.296.479,-4.338.639
-2.297.845,-4.318.971
-2.298.633,-432.266
-2.296.826,-4.339.125
-2.301.774,-4.345.278
-2.296.844,-4.339.267
-2.293.733,-431.747
-2.301.337,-4.345.246
-2.300.445,-4.332.911
-229.715,-4.339.192
-2.298.519,-4.322.487
-2.291.554,-4.322.952
-2.296.969,-4.347.846
-2.300.869,-4.343.891
-2.297.999,-4.321.846
-2.292.314,-4.317.843
-2.302.485,-4.348.117
-2.301.591,-4.345.406
-2.291.698,-4.324.019
-229.628,-4.317.343
-2.300.117,-4.342.397
-2.301.291,-433.158
-2.301.027,-4.345.756
-2.291.889,-4.326.447
-2.298.029,-4.322.312
-2.300.769,-434.488
-2.296.223,-4.316.709
-2.301.116,-4.343.813
-2.292.071,-4.337.549
-2.296.209,-4.316.767
-2.301.235,-4.330.253
-2.300.393,-4.332.624
-2.297.316,-43.394
-2.293.651,-4.317.328
-2.293.961,-4.356.514
-2.296.695,-4.339.229
-230.152,-4.330.681
-2.293.981,-4.318.926
-2.293.457,-4.318.542
-2.296.676,-4.323.345
-2.296.396,-4.317.453
-2.281.223,-4.320.117
-2.293.011,-4.323.242
-2.297.766,-4.322.725
-2.296.987,-4.318.822
-2.297.108,-4.339.099
-2.299.832,-4.338.119
-2.298.086,-4.341.602
-2.302.778,-434.662
-2.293.297,-431.803
-2.293.033,-4.323.253
-229.855,-4.321.815
-2.302.334,-434.533
-2.296.806,-4.318.619
-2.297.352,-4.319.181
-2.298.072,-4.322.304
-2.298.504,-4.345.431
-2.298.228,-4.319.039
-2.296.404,-4.340.308
-2.298.755,-4.330.607
-2.300.657,-4.331.811
-2.292.773,-431.746
-2.294.155,-4.317.598
-2.300.346,-4.343.765
-2.301.105,-43.477
-2.294.995,-4.318.164
-229.676,-4.318.224
-2.296.449,-431.729
-229.734,-4.335.708
-2.298.495,-4.320.789
-2.291.088,-431.855
-2.292.868,-4.317.476
-2.296.338,-4.316.857
-2.301.124,-4.333.199
-2.298.552,-4.320.692
-2.301.903,-4.347.054
-2.298.282,-4.320.724
-229.569,-4.317.986
-2.297.733,-4.323.222
-2.301.988,-4.346.243
-2.297.732,-4.319.139
-2.301.246,-4.344.871
-2.289.485,-4.327.604
-230.045,-4.333.841
-2.297.917,-4.341.727
-2.300.406,-4.334.952
-2.290.376,-4.327.912
-2.292.029,-4.321.023
-229.133,-4.318.313
-2.297.843,-431.895
-2.296.892,-4.318.338
-2.287.007,-4.335.494
-2.289.808,-433.565
-2.301.072,-4.342.983
-2.300.235,-4.338.666
-2.301.045,-4.343.189
-2.298.242,-4.346.341
-2.298.251,-4.345.401
-2.297.609,-4.319.046
-2.300.259,-4.343.437
-2.297.104,-4.339.595
-229.728,-434.103
-2.292.028,-4.321.895
-2.298.223,-4.318.949
-2.301.917,-4.348.361
-2.295.896,-4.320.286
-2.302.363,-4.347.882
-2.292.842,-4.333.683
-2.298.392,-4.320.704
-2.300.057,-4.339.323
-2.293.714,-4.317.695
-2.298.634,-4.322.122
-2.297.695,-4.319.361
-2.296.951,-4.318.695
-2.297.188,-4.339.005
-2.293.261,-4.318.624
-229.651,-4.322.092
-2.292.995,-4.317.782
-2.293.148,-4.323.968
-2.295.722,-4.320.124
-2.292.341,-4.317.034
-2.298.384,-432.165
-2.296.138,-4.321.605
-2.301.076,-4.335.186
-2.295.644,-4.338.224
-2.300.558,-4.343.144
-2.298.222,-4.319.211
-2.297.122,-4.339.699
-2.293.549,-4.317.423
-2.300.021,-4.335.991
-2.295.141,-4.318.104
-2.295.581,-4.337.998
-2.300.783,-4.333.448
-2.303.317,-4.349.075
-2.302.943,-4.347.314
-2.289.983,-4.328.248
-2.298.371,-4.322.272
-2.297.406,-4.339.185
-2.296.793,-4.339.669
-2.301.931,-4.349.298
-2.301.879,-4.347.397
-229.281,-4.339.237
-2.288.258,-4.329.526
-2.301.191,-4.332.639
-2.291.672,-432.096
-2.300.181,-4.338.044
-2.300.686,-4.343.639
-2.301.112,-4.331.379
-2.296.581,-4.338.385
-2.297.874,-4.341.456
-2.301.083,-4.335.887
-2.297.002,-4.338.607
-2.301.856,-4.346.735
-2.300.314,-4.335.154
-2.289.459,-4.325.253
-2.300.987,-4.337.068
-2.300.525,-4.334.093
-2.291.413,-4.324.937
-2.294.577,-4.316.062
-2.298.077,-4.319.349
-2.296.629,-4.338.296
-2.300.427,-4.332.892
-2.301.335,-4.347.649
-2.293.794,-4.317.701
-229.677,-433.964
-2.298.887,-433.491
-2.293.535,-4.317.876
-2.300.907,-4.333.139
-229.305,-4.323.595
-2.291.496,-4.337.408
-2.300.572,-4.331.876
-2.295.255,-4.333.096
-2.295.679,-4.318.162
-2.297.983,-432.011
-2.298.547,-4.332.893
-2.299.753,-434.161
-2.300.417,-4.336.142
-2.294.207,-4.333.661
-2.300.775,-4.333.228
-2.300.014,-4.343.148
-2.301.165,-4.337.926
-230.102,-4.336.609
-2.299.979,-4.341.666
-230.007,-4.335.074
-22.941,-4.318.366
-2.294.266,-4.317.461
-2.303.049,-4.347.904
-229.824,-4.319.315
-2.298.241,-4.319.323
-2.297.006,-4.339.424
-2.283.996,-4.339.992
-2.300.884,-4.343.813
-2.300.061,-4.339.375
-229.632,-4.316.968
-2.297.837,-4.323.416
-2.289.508,-4.334.708
-2.301.505,-4.344.537
-2.299.654,-4.337.702
-2.294.182,-4.319.275
-2.296.299,-4.318.596
-2.298.422,-4.319.507
-2.296.937,-4.318.455
-2.299.128,-433.521
-2.298.415,-4.319.424
-2.302.011,-434.857
-2.301.164,-4.338.041
-2.286.436,-4.336.495
-2.297.334,-4.348.518
-2.298.512,-4.321.088
-2.296.758,-4.318.062
-2.296.455,-4.317.795
-2.290.651,-4.317.361
-2.290.151,-4.322.323
-2.300.733,-434.321
-2.301.782,-4.345.723
-229.775,-4.323.408
-2.302.075,-4.348.672
-2.302.227,-4.348.886
-2.291.538,-4.339.219
-2.295.324,-4.318.121
-2.296.154,-431.744
-2.295.351,-4.319.339
-2.302.385,-4.347.795
-2.296.579,-4.340.904
-2.297.361,-4.318.813
-2.298.206,-4.321.829
-2.296.569,-4.323.331
-2.300.665,-433.434
-2.300.485,-4.341.418
-229.666,-4.339.094
-2.297.166,-4.338.456
-2.300.756,-4.333.423
-229.143,-4.318.923
-2.302.343,-4.349.111
-2.292.933,-4.323.291
-2.301.086,-4.330.902
-2.288.953,-4.339.262
-2.298.305,-4.322.557
-2.297.351,-4.319.016
-2.290.918,-4.324.735
-2.298.069,-4.323.464
-2.290.965,-4.324.725
-2.291.082,-4.324.683
-229.737,-4.318.889
-2.300.781,-4.344.405
-230.234,-4.348.453
-2.298.046,-4.320.059
-2.298.262,-4.320.005
-2.301.908,-434.736
-2.299.654,-4.338.826
-2.299.231,-4.349.874
-2.296.781,-4.318.727
-2.291.976,-4.323.311
-230.107,-4.332.955
-2.293.536,-4.317.759
-2.292.374,-4.320.726
-2.294.648,-432.556
-2.299.847,-4.342.814
-2.294.477,-4.318.199
-2.299.597,-4.338.182
-2.297.089,-4.335.669
-2.297.129,-4.318.756
-2.291.373,-4.318.257
-2.293.541,-4.318.651
-2.296.151,-4.317.001
-2.294.326,-4.357.335
-2.296.951,-43.182
-229.839,-43.226
-2.296.727,-4.318.412
-2.295.055,-4.319.004
-2.293.815,-4.317.627
-2.295.278,-4.319.278
-2.301.026,-4.347.647
-2.300.182,-4.343.258
-2.302.089,-4.345.174
-2.292.212,-4.341.561
-2.302.143,-4.348.815
-2.302.161,-434.547
-2.296.933,-4.319.009
-2.302.508,-4.346.415
-2.302.481,-4.346.564
-2.300.486,-4.330.852
-2.292.256,-4.341.547
-2.301.043,-4.347.281
-2.301.005,-4.342.121
-2.297.024,-4.339.218
