latitude,longitude
-2.294.315,-4.318.478
-2.298.691,-4.321.047
-2.296.904,-4.318.197
-2.294.109,-4.318.754
-2.294.079,-4.318.847
-229.858,-4.320.196
-2.298.212,-431.984
-2.296.871,-4.318.217
-2.296.521,-4.317.614
-2.294.139,-431.873
-2.294.157,-4.318.578
-2.300.028,-4.350.999
-2.296.658,-4.318.256
-2.297.705,-4.318.864
-229.831,-4.330.134
-2.297.717,-4.318.935
-229.227,-4.318.337
-2.295.987,-4.320.827
-2.295.577,-4.319.908
-2.292.087,-4.318.862
-2.296.734,-434.918
-2.296.529,-4.323.701
-2.302.197,-4.351.959
-2.297.876,-432.241
-2.294.311,-4.318.366
-229.848,-4.319.581
-2.292.854,-4.319.478
-2.292.873,-4.319.412
-2.292.357,-4.317.212
-2.296.873,-4.318.238
-2.294.491,-4.318.312
-2.291.443,-4.318.853
-2.301.082,-4.336.436
-2.298.101,-4.322.585
-2.295.415,-4.319.435
-2.296.484,-4.317.288
-2.301.124,-4.337.254
-2.284.049,-433.137
-2.296.653,-4.318.057
-229.827,-4.319.102
-2.298.194,-4.318.916
-2.297.621,-4.319.711
-2.298.155,-4.320.005
-2.293.587,-4.317.815
-2.298.289,-4.319.099
-2.298.306,-431.921
-2.297.819,-431.902
-2.297.395,-4.318.936
-2.295.092,-4.319.874
-2.296.641,-4.318.133
-2.297.523,-4.318.878
-2.297.604,-4.318.673
-2.298.284,-4.320.763
-229.221,-4.317.419
-2.292.039,-4.318.157
-2.298.652,-4.319.532
-2.298.484,-4.319.613
-2.298.431,-4.319.048
-2.296.582,-4.319.118
-229.861,-4.319.014
-2.291.339,-4.317.586
-2.298.224,-431.942
-2.298.176,-4.322.163
-2.293.309,-4.317.628
-2.291.688,-4.318.323
-2.299.691,-4.327.481
-2.299.787,-4.327.367
-2.301.365,-433.087
-2.292.041,-4.319.038
-2.296.874,-431.861
-2.300.924,-4.334.072
-229.399,-4.317.574
-2.298.336,-4.319.144
-2.297.668,-4.319.373
-2.297.393,-4.318.862
-2.297.242,-4.318.834
-2.296.778,-4.318.204
-2.298.545,-4.323.312
-2.291.373,-4.318.079
-2.294.625,-4.333.678
-2.294.057,-4.317.611
-2.294.641,-4.318.228
-2.292.139,-4.317.833
-2.299.905,-4.338.288
-2.295.411,-4.319.505
-2.299.578,-4.325.397
-2.295.644,-4.320.234
-2.295.625,-4.317.988
-2.298.126,-4.319.433
-2.292.667,-4.318.053
-2.298.863,-4.323.368
-2.298.427,-4.320.796
-2.291.697,-4.318.594
-2.298.228,-431.984
-2.293.845,-4.317.663
-2.297.965,-4.318.915
-2.293.318,-4.317.681
-2.289.886,-4.321.928
-2.297.789,-4.322.561
-2.296.274,-4.317.718
-229.338,-4.319.264
-2.298.595,-4.319.903
-2.298.623,-432.002
-229.594,-4.320.253
-2.292.119,-431.746
-2.294.288,-4.318.115
-229.712,-4.318.646
-2.298.078,-4.320.844
-2.298.273,-4.319.311
-2.295.799,-432.039
-2.296.192,-4.318.116
-2.298.092,-4.319.179
-2.291.586,-4.320.939
-2.298.316,-4.320.806
-2.290.124,-4.334.986
-2.293.409,-4.318.082
-2.296.083,-4.320.412
-2.298.357,-4.319.369
-2.281.028,-4.318.178
-230.069,-4.331.147
-2.297.422,-4.332.848
-2.294.939,-431.825
-230.066,-4.329.758
-2.298.253,-4.319.124
-2.298.647,-4.319.431
-2.300.871,-4.332.223
-2.298.504,-4.319.228
-2.300.463,-4.337.646
-2.298.177,-431.999
-2.293.398,-4.324.069
-2.299.009,-4.323.293
-2.299.102,-4.322.905
-2.298.433,-4.322.915
-2.298.238,-4.319.156
-2.298.394,-432.262
-2.292.052,-4.325.391
-2.297.576,-4.319.078
-2.296.583,-4.318.867
-2.298.758,-4.319.323
-2.299.187,-4.323.301
-2.300.419,-4.332.293
-2.293.193,-4.324.091
-2.301.604,-4.344.628
-2.301.037,-4.332.955
-2.296.585,-4.318.645
-2.297.403,-4.341.389
-2.298.038,-4.319.809
-2.294.375,-4.320.535
-2.291.481,-4.319.155
-230.109,-4.336.918
-2.298.241,-4.319.756
-2.298.259,-431.985
-2.296.362,-4.317.601
-2.299.777,-433.851
-2.296.315,-4.316.939
-2.296.621,-4.318.861
-2.295.578,-4.319.387
-229.548,-4.319.347
-2.298.673,-4.319.772
-2.301.069,-4.332.881
-2.296.532,-4.318.013
-229.821,-4.318.961
-2.292.895,-4.319.427
-2.301.301,-4.331.324
-2.295.924,-4.335.667
-2.296.539,-4.317.962
-2.297.301,-4.322.606
-2.298.156,-4.320.012
-2.297.424,-4.318.792
-229.862,-4.319.862
-2.294.475,-4.318.244
-2.297.644,-4.318.954
-2.299.759,-4.338.347
-22.987,-4.319.665
-2.299.912,-4.338.457
-2.299.792,-4.338.361
-2.292.955,-4.319.464
-2.299.901,-4.338.277
-2.298.148,-4.321.757
-2.296.806,-4.318.561
-2.295.959,-4.320.612
-2.294.328,-4.320.431
-2.301.551,-4.344.625
-2.290.584,-434.068
-2.290.721,-4.340.725
-2.290.602,-4.340.893
-2.290.618,-4.340.835
-2.287.835,-4.347.713
-2.300.968,-4.334.204
-2.294.969,-4.318.553
-2.297.863,-4.319.001
-2.295.506,-4.317.514
-2.297.549,-4.319.009
-2.297.495,-4.318.883
-2.297.078,-4.318.482
-2.296.562,-4.317.633
-2.296.511,-4.317.642
-2.296.474,-4.317.555
-2.298.372,-4.319.459
-2.296.528,-4.319.077
-2.297.067,-4.318.922
-2.296.356,-4.317.931
-2.296.653,-4.317.979
-2.292.114,-4.318.603
-229.218,-4.318.602
-2.292.107,-4.318.675
-2.298.602,-4.319.125
-2.302.189,-4.351.054
-2.296.229,-4.317.556
-2.296.519,-4.320.152
