host_response_rate,host_is_superhost,host_total_listings_count,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
90%,f,2.0,-2.291.410.551.376.940,-4.318.576.811.966.770,t,Condominium,Entire home/apt,5,1.0,1.0,1.0,Real Bed,"{TV,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Hangers,Iron,Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Long term stays allowed"",""Well-lit path to entrance"",""Step-free access"",Other,""Handheld shower head""}",,$236.00,"$5,333.00","$17,125.00",$489.00,$122.00,2,$39.00,2,180,t,2,50.0,6.0,4.0,4.0,4.0,8.0,4.0,f,flexible,f,1,0.03
100%,t,12.0,-2.296.557.450.660.160,-4.317.722.601.487.890,t,Apartment,Private room,4,0.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Host greets you"",Beachfront}",,$139.00,,,,,4,$0.00,1,90,t,23,90.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,12,0.28
100%,t,12.0,-2.296.285.775.825.760,-4.317.575.309.203.550,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Long term stays allowed"",""Host greets you""}",,$81.00,,"$1,000.00",$0.00,$0.00,2,$20.00,1,90,t,97,94.0,10.0,9.0,10.0,10.0,10.0,9.0,f,moderate,f,12,1.19
100%,t,12.0,-22.967.371.177.975.100,-43.178.056.889.956.500,t,Apartment,Private room,3,,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Host greets you"",Beachfront}",,$108.00,,,,,3,$0.00,1,90,t,15,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,moderate,f,12,0.18
100%,t,12.0,-22.965.769.489.319.400,-43.176.478.653.462.600,t,Apartment,Private room,3,,1.0,2.0,Real Bed,"{TV,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Beachfront}",,$542.00,,,,,1,$0.00,2,365,t,0,,,,,,,,f,moderate,f,12,
,f,2.0,-2.296.656.677.789.810,-4.319.191.531.619.550,t,Apartment,Entire home/apt,5,2.0,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Breakfast,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$449.00,"$1,400.00","$6,000.00",$0.00,$100.00,1,$0.00,3,1125,t,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,2,0.07
96%,f,4.0,-2.298.054.244.450.120,-4.319.368.567.529.770,t,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials}",,$252.00,,,$330.00,$100.00,2,$28.00,3,180,t,70,89.0,9.0,9.0,9.0,9.0,9.0,9.0,f,strict_14_with_grace_period,f,4,0.83
100%,t,1.0,-2.298.316.236.650.050,-43.211.911.020.559.200,t,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Elevator,""Free street parking"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",Crib,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}",,$290.00,,"$5,805.00",$774.00,$135.00,2,$39.00,2,900,t,156,95.0,10.0,9.0,10.0,10.0,10.0,9.0,f,moderate,f,1,1.84
97%,f,13.0,-22.984.824.586.422.900,-43.190.765.142.126.100,t,Apartment,Entire home/apt,5,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,Iron,""Self check-in"",""Building staff"",""Hot water"",""Bed linens""}",,$170.00,,"$3,200.00",$0.00,$130.00,2,$20.00,2,90,t,20,84.0,9.0,9.0,9.0,9.0,9.0,8.0,f,strict_14_with_grace_period,t,13,0.24
100%,t,12.0,-22.966.054.740.411.700,-431.785.438.455.231,t,Apartment,Private room,2,,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",Beachfront}",,$101.00,,,,,2,$0.00,1,30,t,3,93.0,10.0,10.0,10.0,10.0,10.0,9.0,f,moderate,f,12,0.11
100%,f,12.0,-22.979.553.228.510.600,-4.319.168.743.273.690,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",,$159.00,,,$340.00,$150.00,2,$70.00,3,90,t,21,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,t,8,0.25
87%,t,3.0,-22.951.720.429.288.400,-4.316.852.930.959.420,t,House,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Free street parking"",Washer,Dryer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$387.00,,,$0.00,$108.00,4,$77.00,3,365,t,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,3,0.11
100%,f,3.0,-22.974.286.612.976.900,-4.318.919.132.356.920,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Dryer,Essentials,""24-hour check-in"",""Hair dryer"",Iron}",,$182.00,,,$929.00,$93.00,3,$39.00,3,30,t,4,95.0,9.0,10.0,10.0,10.0,10.0,8.0,f,strict_14_with_grace_period,t,3,0.06
100%,f,2.0,-2.296.460.079.939.250,-431.905.912.692.168,t,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Room-darkening shades""}",,$387.00,"$1,122.00","$2,763.00",$387.00,$182.00,2,$0.00,4,30,t,16,93.0,10.0,9.0,10.0,10.0,9.0,9.0,f,moderate,t,2,0.19
,f,2.0,-2.298.427.025.498.220,-432.200.531.468.966,t,Apartment,Entire home/apt,5,1.5,2.0,1.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace""}",,$399.00,,,$300.00,$300.00,2,$400.00,4,30,t,12,98.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,2,0.14
100%,f,4.0,-22.914.945.424.991.300,-4.318.231.701.994.300,t,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,"{TV,Kitchen,Elevator,Essentials,""Host greets you"",""Paid parking on premises""}",,$205.00,,,$880.00,$176.00,2,$0.00,1,1125,t,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,4,0.04
100%,f,4.0,-2.291.565.712.310.430,-4.318.482.420.066.380,t,Apartment,Entire home/apt,2,1.0,0.0,2.0,Pull-out Sofa,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Elevator,""Family/kid friendly""}",,$197.00,"$1,232.00","$2,639.00",$880.00,$176.00,2,$0.00,1,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,4,
50%,f,2.0,-2.291.623.317.068.420,-4.318.599.628.013.200,t,Bed and breakfast,Shared room,1,,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),""Hot tub"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,Iron}",,$120.00,,,,,1,$50.00,2,1125,t,31,81.0,8.0,7.0,9.0,9.0,9.0,9.0,f,strict_14_with_grace_period,f,2,0.37
100%,t,3.0,-2.296.958.765.589.320,-43.188.857.845.615.500,t,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer}",,$151.00,,,$0.00,$0.00,2,$90.00,2,30,t,42,99.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,3,0.51
100%,f,2.0,-229.471.199.655.438,-4.318.553.808.706.620,t,Condominium,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",Doorman,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Host greets you"",""Paid parking on premises""}",,$101.00,,,$0.00,$48.00,1,$0.00,1,19,t,150,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,2,1.78
,f,1.0,-2.293.352.204.321.090,-4.318.116.533.039.850,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Bed linens""}",,$120.00,,"$3,750.00","$2,000.00",$120.00,2,$50.00,28,1125,t,12,94.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,1,0.14
100%,f,1.0,-2.300.683.607.538.980,-4.332.427.114.566.510,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Washer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$290.00,"$5,612.00","$18,963.00",$929.00,$232.00,2,$46.00,5,365,t,13,95.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,1,0.17
100%,f,2.0,-22.946.820.542.869.300,-4.318.368.433.055.900,t,Guesthouse,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",Doorman,""Free street parking"",""Buzzer/wireless intercom"",Washer,Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Hot water"",Microwave,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Host greets you""}",,$139.00,,,,$48.00,1,$20.00,1,19,t,234,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,2,2.77
100%,f,1.0,-22.915.254.577.724.500,-4.318.136.289.087.770,t,House,Entire home/apt,3,1.0,1.0,3.0,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets live on this property"",Dog(s),""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron}",,$182.00,,,$350.00,$80.00,1,$80.00,2,1125,t,20,95.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,1,0.27
90%,f,1.0,-22.979.847.913.088.700,-4.319.135.404.653.490,t,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Hot water"",""Long term stays allowed"",""Paid parking on premises""}",,$224.00,,,"$1,084.00",$221.00,5,$77.00,5,90,t,119,90.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,1.41
,f,2.0,-229.300.689.216.508,-4.319.453.100.989.290,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",Washer,Shampoo}",,$581.00,,,$387.00,$155.00,1,$116.00,2,300,t,7,100.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,2,0.09
100%,t,5.0,-22.984.046.680.078.700,-4.320.033.559.708.550,f,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Children’s books and toys"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",,$201.00,,,$380.00,$150.00,4,$60.00,2,1124,t,33,96.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,5,0.4
,f,1.0,-22.984.104.389.707.400,-4.319.268.956.952.350,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Fire extinguisher"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$66.00,,,$0.00,$100.00,2,$50.00,3,30,t,44,95.0,9.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,1,0.53
100%,f,2.0,-22.938.361.619.417.200,-4.320.521.792.145.270,t,Loft,Entire home/apt,5,1.5,1.0,3.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,""Hot tub"",""Indoor fireplace"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Children’s books and toys"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Host greets you"",Waterfront,Beachfront}",,$186.00,,"$1,385.00","$1,000.00",$170.00,2,$25.00,3,365,t,27,96.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,t,2,0.34
100%,f,1.0,-2.297.953.670.566.820,-4.319.019.484.304.130,t,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,"{TV,Wifi,Kitchen,""Paid parking off premises"",""Smoking allowed"",Elevator,""Free street parking"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Baby monitor"",""Children’s books and toys"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Step-free access"",Waterfront,""Lake access"",Beachfront,Ski-in/Ski-out,""Handheld shower head"",""Shower chair""}",,$132.00,,,$901.00,$0.00,4,$60.00,5,1125,t,79,87.0,9.0,9.0,10.0,9.0,9.0,9.0,f,strict_14_with_grace_period,f,1,1.4
100%,f,1.0,-2.298.354.734.310.430,-4.319.792.675.797.000,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Gym,Elevator,""Free street parking"",Washer,""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Stair gates"",""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Luggage dropoff allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Step-free access"",""Wide entryway"",""Host greets you""}",,$194.00,,,$387.00,$116.00,1,$58.00,3,28,t,8,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,1,0.1
,f,1.0,-22.982.887.018.331.400,-4.320.252.122.202.400,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$697.00,"$3,000.00",,"$3,324.00",$166.00,4,$332.00,4,21,t,14,100.0,9.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,1,0.19
,f,1.0,-22.914.853.168.581,-4.318.586.235.182.120,t,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,"{TV,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",""Family/kid friendly""}",,$271.00,"$1,614.00","$5,689.00",$774.00,$310.00,3,$310.00,5,30,t,4,73.0,5.0,4.0,6.0,9.0,6.0,5.0,f,strict_14_with_grace_period,f,1,0.05
100%,f,66.0,-2.296.771.342.716.310,-43.187.179.588.697.500,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Doorman,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Host greets you""}",,$275.00,,,$800.00,$100.00,2,$100.00,3,30,t,30,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,26,0.4
100%,f,1.0,-2.296.776.638.572.460,-431.819.181.446.616,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Hangers,Iron,""Hot water"",""Bed linens"",""Extra pillows and blankets""}",,$232.00,,"$7,353.00",$387.00,$194.00,1,$0.00,4,365,t,23,97.0,10.0,9.0,10.0,10.0,10.0,10.0,f,moderate,f,1,0.28
100%,f,3.0,-2.296.840.278.142.750,-4.318.209.058.881.680,t,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Elevator,Washer,Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$182.00,,,$400.00,$60.00,2,$50.00,3,30,t,137,82.0,9.0,7.0,9.0,9.0,10.0,8.0,f,strict_14_with_grace_period,f,3,1.63
100%,t,10.0,-22.984.446.544.659.800,-43.200.373.532.313,t,Apartment,Entire home/apt,4,1.5,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""High chair"",""Babysitter recommendations"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Host greets you"",""Paid parking on premises""}",,$151.00,,,$920.00,$150.00,2,$40.00,2,180,t,91,95.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,10,1.11
0%,f,1.0,-22.881.770.552.619.800,-4.349.129.234.328.050,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,Washer,Essentials,Shampoo,""Lock on bedroom door"",""Hot water"",""Host greets you""}",,$31.00,$293.00,$631.00,$480.00,$0.00,1,$45.00,1,6,t,2,90.0,8.0,6.0,9.0,10.0,6.0,9.0,f,flexible,f,1,0.04
,f,2.0,-228.403.448.303.516,-4.331.419.673.129.860,t,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Free parking on premises"",Breakfast,""Buzzer/wireless intercom""}",,$232.00,,,,,1,$0.00,1,1125,t,0,,,,,,,,f,flexible,t,2,
100%,f,1.0,-2.298.855.835.639.560,-432.264.087.234.198,t,Condominium,Entire home/apt,5,1.5,2.0,3.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}",,$503.00,"$3,483.00","$8,901.00","$1,161.00",$387.00,4,$97.00,8,18,t,17,95.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,1,0.2
100%,f,2.0,-22.986.805.492.633.900,-4.319.747.563.988.770,t,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""Hot water"",Other}",,$132.00,,,$444.00,$132.00,2,$220.00,3,90,t,27,88.0,9.0,9.0,10.0,10.0,10.0,8.0,f,strict_14_with_grace_period,f,2,0.38
100%,f,2.0,-2.298.059.634.546.840,-4.319.818.025.817.460,t,Apartment,Entire home/apt,4,2.0,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,$441.00,,,,,4,$132.00,2,1125,t,15,86.0,9.0,8.0,9.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,2,0.18
