host_response_rate,host_is_superhost,host_total_listings_count,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
0%,f,1.0,-2.298.448.796.128.200,-4.323.067.691.137.370,f,Apartment,Private room,2,1.0,1.0,2.0,Pull-out Sofa,"{Wifi,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$464.00,,,$387.00,$58.00,1,$0.00,2,8,t,13,86.0,9.0,10.0,10.0,9.0,10.0,7.0,f,strict_14_with_grace_period,f,1,0.16
100%,f,4.0,-229.184.289.429.851,-4.317.793.033.482.960,t,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",Washer,Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$213.00,,,$0.00,$77.00,1,$116.00,5,1000,t,83,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,f,4,0.88
100%,f,1.0,-2.298.490.375.114.110,-4.319.538.874.348.200,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,Heating,""Smoke detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you"",""Paid parking on premises""}",,$290.00,,,"$1,161.00",$174.00,2,$774.00,4,120,t,12,97.0,9.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.17
100%,f,1.0,-22.985.087.803.450.000,-4.330.055.768.107.100,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Washer,Essentials,""Hair dryer"",Iron}",,$201.00,,,,$50.00,2,$0.00,2,120,t,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,1,0.04
100%,f,1.0,-2.298.026.529.884.030,-4.319.254.657.523.170,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",,$120.00,$968.00,"$3,870.00","$1,548.00",$194.00,2,$77.00,3,365,t,130,86.0,9.0,8.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,1,1.37
,f,8.0,-22.981.519.259.702.500,-4.319.018.479.326.130,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Long term stays allowed""}",,$108.00,,,$0.00,$100.00,2,$50.00,4,1125,t,8,85.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,8,0.15
100%,f,1.0,-22.982.383.750.259.600,-4.319.366.318.041.830,t,Condominium,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$283.00,"$2,670.00","$9,636.00",,,4,$387.00,5,180,t,87,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,1,0.92
100%,f,1.0,-2.298.118.716.565.720,-4.319.372.670.447.490,f,Apartment,Entire home/apt,12,4.0,4.0,8.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",Oven,Stove}",,$352.00,,,"$2,199.00",$396.00,6,$66.00,2,365,t,107,87.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,1,1.19
96%,t,7.0,-22.928.748.692.491.000,-4.319.341.175.995.500,t,Bed and breakfast,Private room,16,5.0,7.0,10.0,Real Bed,"{Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Wide entryway""}",,$174.00,"$1,232.00","$3,959.00",,,2,$44.00,1,30,t,179,95.0,10.0,9.0,10.0,10.0,9.0,9.0,f,moderate,f,7,2.16
,f,1.0,-22.976.775.053.963.900,-43.192.082.152.445.300,f,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,Elevator,""Family/kid friendly"",Washer}",,$201.00,"$1,400.00",,,$150.00,1,$200.00,2,6,t,5,80.0,8.0,8.0,10.0,9.0,10.0,9.0,f,moderate,f,1,0.06
89%,t,3.0,-2.291.431.201.768.760,-4.318.884.415.499.850,t,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Long term stays allowed""}",,$151.00,,,$0.00,$140.00,1,$0.00,1,365,t,78,95.0,10.0,9.0,10.0,10.0,8.0,9.0,f,strict_14_with_grace_period,f,2,0.83
